PID,Projects ,SHA,LOC,TCs,Auto TCs,Violations,,JavaMOP,,,MSL,,,JavaMOP,,MSL,
,,,,,,JavaMOP,MSL,TB,HTI,FA,TB,HTI,FA,FP,FN,FP,FN
1,joda-time,cc35fb2e6,179.900,4.157,-,79,63,48,0,31,54,0,9,31,11,9,5
2,apache.avro,408099a9,384.500,10.370,-,0,15,0,0,0,6,0,9,0,6,9,0
3,jriecken.gae-java-mini-profiler,80f3a59e,2.300,8,8.520,1,1,1,0,0,1,0,0,0,0,0,0
4,bucchi.OAuth2.0ProviderForJava,db5e1d06,5.500,30,2.470,3,5,1,0,2,3,1,2,1,3,0,0
5,Cue.lucene-interval-fields,8f8bff6d00,1.900,9,5.810,12,16,11,0,1,12,3,4,0,1,3,0
6,recrack.kornakapi,a47e34c4,3.600,2,39.707,1,2,1,0,0,0,0,2,0,0,2,1
7,connector4java,e9042519,19.900,36,15.461,2,12,0,0,2,4,3,8,2,4,8,0
8,apache.gora,bb09d8916,134.200,477,-,2,3,0,0,2,2,0,1,2,2,1,0
9,com.greplin.zookeeper,a2b80474,1.300,4,753,5,16,0,0,5,10,1,6,5,10,6,0
10,edanuff.CassandraCompositeType,6d09cceb9,2.500,1,4.443,1,1,1,0,0,1,0,0,0,0,0,0
11,codahale.og,693c81154,928,14,13.055,8,12,0,0,8,0,2,12,0,0,4,0
12,sitespeedio.crawler,715ee7f14,5.200,29,13.234,0,12,0,0,0,1,0,11,0,1,11,0
13,jbossas.jboss-dmr,752896741b,108.400,432,13.531,6,26,0,0,6,4,0,22,1,4,16,0
14,apache.creadur-rat,3e49be6a2,63.600,233,15.235,29,51,7,0,22,11,3,40,20,10,38,6
15,jnr.jnr-posix,b2cc7b52a,18.900,41,6.262,4,2,0,0,4,1,1,1,3,1,0,0
16,AlbinTheander.MeQanTT,0670dd0bc,3.100,36,17.841,1,2,0,0,1,1,2,1,0,1,0,0
17,jsondiff,e71b5793,4.600,186,20.291,5,2,0,0,5,1,0,1,4,1,0,0
18,asterisk-java,84d890b8,110.300,358,9.548,0,15,0,0,0,5,0,10,0,5,10,0
19,code4craft.jsoup-learning,2c0580fd,31400,398,2.193,0,10,0,0,0,7,0,3,0,7,3,0
20,pignlproc,1a609980,6.100,19,5.826,3,17,1,1,2,13,0,4,2,13,4,1
PWI,33 - Projects with issue,diverses,,,,,,,,,,,,,,,
PNV,54 - Projects no violations,diverses,,,,,,,,,,,,,,,
,,TOTAL,1.088.128,16.840,194.180,162,283,71,1,91,137,16,146,71,80,124,13
,,AVG,54.406,"842,00",11.422,"8,10","14,15",,,,,,,,,,
,,MIN,928,1,753,0,1,,,,,,,,,,
,,MAX,384.500,10.370,39.707,79,63,,,,,,,,,,